v0303,v0304,v0331,v0332,v0333,v0336,v0341,v0342,v0343,v0346,v0351,v0352,v0353,v0356,v0361,v0362,v0363,v0366,v0371,v0372,v0373,v0376,v0381,v0382,v0383,v0386,v0391,v0392,v0393,v0396,v0401,v0402,v0403,v0406,v0411,v0412,v0413,v0416,v0421,v0422,v0423,v0426,personid,male,birthyear,ageatsurvey,birthplaceurban,birthplaceprov,yr_married,edu,noedu,primary,hs,degree,edcat,totmoves,begprov,begplaceurban,jobbefore1,jobafter1,mt1cat,yrmove1,agewhenmoved1,upmove1,downmove1,neutralmove1,prov1,prov2,prov3,prov4,prov5,prov6,prov7,prov8,prov9,prov10,startjob1,startjob2,startjob3,startjob4,startjob5,mvetype1,mvetype2,mvetype3,mvetype4
Eastern ,274,Eastern ,272,Urban,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,274,Rural,1997,Western ,106,Urban,1999,58,0,1978,21,0,3,9999,11,0,0,1,0,2,3,3,1,4,4,4,1995,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Western ,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,220,Rural,1992,Western ,106,Urban,1993,63,1,1980,19,0,3,9999,8,0,0,1,0,2,2,3,0,4,4,2,1992,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,270,Eastern ,269,Rural,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,270,Rural,1995,Western ,106,Urban,1996,65,0,1977,22,0,3,9999,12,0,0,1,0,2,3,3,0,4,4,4,1993,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1996,66,1,1979,20,1,2,9999,7,0,1,0,0,1,1,2,1,4,4,3,1996,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1995,68,1,1973,26,1,3,9999,10,0,0,1,0,2,1,2,1,4,4,1,1995,22,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Eastern ,275,Western ,106,Urban,1990,Eastern ,275,Rural,1990,Western ,106,Urban,1991,Eastern ,275,Rural,1991,Western ,106,,1992,Eastern ,275,Rural,1992,Western ,106,1,1993,Eastern ,275,Rural,1993,Eastern ,275,Rural,1998,Western ,106,Urban,1999,69,0,1959,40,0,3,9999,8,0,0,1,0,2,17,2,1,4,4,4,1990,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1986,71,1,1973,26,0,3,9999,9,0,0,1,0,2,1,2,1,4,4,3,1986,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1991,74,1,1979,20,0,3,9999,9,0,0,1,0,2,1,2,1,4,4,3,1991,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,268,Eastern ,268,Rural,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,275,Rural,1988,Western ,106,Urban,1990,75,0,1975,24,0,3,1997,12,0,0,1,0,2,3,3,0,4,4,4,1987,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Eastern ,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1994,76,0,1976,22,1,2,9999,10,0,0,1,0,2,1,2,1,4,4,3,1994,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,270,Western ,106,Urban,1985,Eastern ,270,Urban,1988,Western ,106,Urban,1990,Eastern ,270,Urban,1998,Western ,106,Urban,1999,Botswana,270,,,Western ,106,1,1990,Eastern ,270,Urban,1991,Eastern ,270,Urban,1998,Western ,106,Urban,1999,78,0,1962,37,1,3,1980,8,0,0,1,0,2,21,2,1,4,4,2,1985,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1972,79,0,1942,57,1,3,9999,4,0,1,0,0,1,1,2,1,4,4,1,1972,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Eastern ,272,Gauteng,704,Urban,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,272,Urban,1995,Western ,106,Urban,1996,80,0,1977,22,1,3,9999,12,0,0,1,0,2,3,8,1,4,4,2,1992,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Eastern ,249,Eastern ,220,Urban,1989,Eastern ,249,Rural,1989,Eastern ,243,Urban,1990,Eastern ,249,Rural,1990,Eastern ,243,Urban,1991,Eastern ,249,Rural,1991,Eastern ,243,1,1992,Eastern ,249,Rural,1992,Eastern ,243,Urban,1999,Western ,106,Urban,1999,82,0,1975,24,0,3,9999,10,0,0,1,0,2,22,3,1,3,3,4,1989,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eastern ,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1996,84,0,1977,22,0,3,9999,10,0,0,1,0,2,1,2,1,4,4,3,1996,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1998,85,0,1981,18,0,3,9999,9,0,0,1,0,2,1,2,1,4,4,3,1998,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eastern ,203,Eastern ,275,Rural,1970,Eastern ,261,Rural,1972,,,,,,,,,,,,,,,,,,,,,,,,,Eastern ,268,Rural,1974,Western ,106,Urban,1975,87,0,1956,43,0,3,1974,7,0,1,0,0,1,4,3,0,4,4,2,1970,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Eastern ,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western ,106,Urban,1991,88,1,1973,26,0,3,9999,5,0,1,0,0,1,1,2,1,4,2,3,1991,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Eastern ,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free Sta,444,Urban,1980,Western ,106,Urban,1996,89,1,1972,27,0,3,9999,12,0,0,1,0,2,2,9,1,4,4,3,1980,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
